,id,provinces_x,cities,districts,villages_x,lat,lng,localityId,level,parentId,name,provinces_y,villages_y
0,108587483,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.159212,106.89718020000001,2528,3,194,Jakarta,jakarta,
1,149795848,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.1500527,106.8926068,2528,3,194,Jakarta,jakarta,
2,165776027,jakarta,jakarta,kelapa gading,,-6.1595722,106.91652340000002,2528,3,194,Jakarta,jakarta,
3,359847787,jakarta,jakarta,kelapa gading,pegangsaan dua,-6.1679033,106.91125840000001,2528,3,194,Jakarta,jakarta,
4,377036476,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.1500527,106.8926068,2528,3,194,Jakarta,jakarta,
5,479306947,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.159212,106.89718020000001,2528,3,194,Jakarta,jakarta,
6,619452698,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.1478672,106.8953942,2528,3,194,Jakarta,jakarta,
7,794680323,jakarta,jakarta,kelapa gading,kelapa gading timur,-6.165856099999999,106.90755690000002,2528,3,194,Jakarta,jakarta,
8,912848347,jakarta,jakarta,kelapa gading,pegangsaan dua,-6.1420169,106.91230420000001,2528,3,194,Jakarta,jakarta,
9,941826757,jakarta,jakarta,kelapa gading,,-6.1554701,106.89667649999998,2528,3,194,Jakarta,jakarta,
10,959034073,jakarta,jakarta,kelapa gading,,-6.1604549,106.9054618,2528,3,194,Jakarta,jakarta,
11,988695225,jakarta,jakarta,kelapa gading,kelapa gading timur,-6.1747833,106.8977002,2528,3,194,Jakarta,jakarta,
12,102197616,jakarta,jakarta,kelapa gading,pegangsaan dua,-6.1658278,106.9152021,2528,3,194,Jakarta,jakarta,
13,106040220,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.1638366,106.8927408,2528,3,194,Jakarta,jakarta,
14,107054813,jakarta,jakarta,kelapa gading,pegangsaan dua,-6.1658278,106.9152021,2528,3,194,Jakarta,jakarta,
15,108679353,jakarta,jakarta,kelapa gading,kelapa gading barat,-6.1569945,106.8958257,2528,3,194,Jakarta,jakarta,
16,112189713,jakarta,jakarta,kelapa gading,,-6.1480572,106.90939420000001,2528,3,194,Jakarta,jakarta,
17,118281730,jakarta,jakarta,kelapa gading,,-6.1412014,106.9162202,2528,3,194,Jakarta,jakarta,
